reading,hanja,unicode,meaning_kw,meaning_tags
가,歌,U+6B4C,노래,균형
가,加,U+52A0,더할,균형
가,價,U+50F9,값,균형
가,假,U+5047,거짓,균형
가,茄,U+8304,가지,균형
가,袈,U+8888,가사,균형
가,訶,U+8A36,꾸짖을,균형
가,跏,U+8DCF,책상다리할,균형
가,軻,U+8EFB,수레 가기 힘들,균형
가,哿,U+54FF,좋을,균형
가,嘏,U+560F,클,성장
가,舸,U+8238,큰 배,성장
가,珈,U+73C8,머리꾸미개,개방
가,坷,U+5777,험할,균형
가,斝,U+659D,옥잔,균형
가,榎,U+698E,오동나무,균형
가,檟,U+6A9F,오동나무,균형
가,笳,U+7B33,갈잎피리,균형
각,珏,U+73CF,쌍옥,균형
각,恪,U+606A,삼갈,균형
각,殼,U+6BBC,껍질,균형
각,愨,U+6128,,균형
각,卻,U+537B,물리칠,균형
각,咯,U+54AF,토할,균형
각,埆,U+57C6,메마를,균형
각,搉,U+6409,칠,균형
각,擱,U+64F1,놓을,균형
각,桷,U+6877,서까래,균형
각,慤,U+6164,삼갈,균형
간,肝,U+809D,간,균형
간,幹,U+5E79,줄기,균형
간,簡,U+7C21,대쪽,균형
간,姦,U+59E6,간사할,균형
간,杆,U+6746,지레,균형
간,桿,U+687F,막대기,균형
간,癇,U+7647,,균형
간,癎,U+764E,경풍,균형
갈,渴,U+6E34,목마를,균형
갈,葛,U+845B,칡,균형
갈,乫,U+4E6B,땅이름,균형
갈,喝,U+559D,꾸짖을,균형
갈,曷,U+66F7,어찌,균형
갈,碣,U+78A3,비,균형
갈,竭,U+7AED,다할,균형
갈,褐,U+8910,털베,균형
갈,蝎,U+874E,전갈,균형
갈,鞨,U+97A8,말갈나라,균형
갈,噶,U+5676,벼슬이름,균형
갈,楬,U+696C,패를 써서 표시할,균형
갈,秸,U+79F8,볏짚,균형
갈,羯,U+7FAF,불친 양,균형
갈,蠍,U+880D,전갈,균형
감,坩,U+5769,도가니,균형
감,埳,U+57F3,구덩이,균형
감,嵁,U+5D41,산 험할,균형
감,弇,U+5F07,뚜껑,균형
감,憨,U+61A8,어리석을,균형
감,撼,U+64BC,흔들,균형
감,欿,U+6B3F,서운할,균형
감,歛,U+6B5B,탐할,균형
감,泔,U+6CD4,뜨물,균형
감,淦,U+6DE6,물 이름,균형
감,澉,U+6F89,싱거울,균형
감,矙,U+77D9,엿볼,균형
감,轗,U+8F57,가기 힘들,균형
감,酣,U+9163,흥겨울,균형
감,鑑,U+9451,거울,균형
감,鑒,U+9452,거울,균형
갑,甲,U+7532,갑옷,균형
갑,鉀,U+9240,갑옷,균형
갑,匣,U+5323,궤,균형
갑,岬,U+5CAC,산 허구리,균형
갑,胛,U+80DB,어깻죽지,균형
갑,閘,U+9598,문 빗장,강인함
강,薑,U+8591,생강,강인함
강,鱇,U+9C47,천징어,균형
강,嫝,U+5ADD,,균형
강,跭,U+8DED,,균형
강,襁,U+8941,포대기,균형
강,玒,U+7392,,균형
강,顜,U+985C,,균형
강,茳,U+8333,강리풀,강인함
강,鏹,U+93F9,,균형
강,傋,U+508B,아첨 아니할,균형
강,僵,U+50F5,엎드러질,균형
강,壃,U+58C3,지경,균형
강,忼,U+5FFC,강개할,강인함|개방
강,悾,U+60BE,정성,청렴
개,個,U+500B,낱,균형
개,箇,U+7B87,낱,균형
개,蓋,U+84CB,뚜껑,균형
개,盖,U+76D6,덮을,균형
객,客,U+5BA2,손님,균형
객,喀,U+5580,기침할,균형
갱,更,U+66F4,다시,균형
갱,坑,U+5751,빠질,균형
갱,粳,U+7CB3,메벼,균형
갱,羹,U+7FB9,국,균형
갱,硜,U+785C,아릿아릿할,균형
갱,賡,U+8CE1,이을,균형
갱,鏗,U+93D7,금석 소리,균형
건,建,U+5EFA,세울,성장
건,乾,U+4E7E,하늘,균형
건,件,U+4EF6,조건,균형
건,健,U+5065,굳셀,강인함
건,䢖,U+4896,,균형
건,漧,U+6F27,,균형
건,乹,U+4E79,,균형
걸,傑,U+5091,호걸,균형
걸,乞,U+4E5E,구걸할,균형
걸,桀,U+6840,찢을,균형
걸,乬,U+4E6C,갈,균형
걸,朅,U+6705,갈,균형
걸,榤,U+69A4,닭의 홰,균형
걸,杰,U+6770,뛰어날,균형
검,儉,U+5109,검소할,균형
검,劍,U+528D,칼,균형
검,檢,U+6AA2,교정할,청렴
검,瞼,U+77BC,눈시울,균형
검,鈐,U+9210,굴대 비녀장,강인함
검,黔,U+9ED4,검을,균형
검,撿,U+64BF,잡을,균형
검,芡,U+82A1,마름,균형
검,劒,U+5292,칼,균형
격,格,U+683C,이를,균형
격,擊,U+64CA,칠,균형
격,激,U+6FC0,물결 부딪혀 흐를,균형
격,隔,U+9694,막을,균형
격,檄,U+6A84,격서,균형
격,膈,U+8188,명치,밝음
격,覡,U+89A1,박수,균형
격,挌,U+630C,칠,균형
격,毄,U+6BC4,맞부딛는 소리,균형
격,闃,U+95C3,고요할,안정
격,骼,U+9ABC,마른 뼈,균형
격,鬲,U+9B32,오지병,균형
격,鴃,U+9D03,왜가리,균형
견,鵑,U+9D51,접동새,균형
견,甄,U+7504,질그릇,균형
견,繭,U+7E6D,고치,균형
견,譴,U+8B74,꾸짖을,균형
견,狷,U+72F7,고집스러울,균형
견,畎,U+754E,밭 도랑,균형
견,筧,U+7B67,대 홈통,개방
견,縳,U+7E33,올,균형
견,繾,U+7E7E,곡진할,균형
견,羂,U+7F82,걸,균형
견,蠲,U+8832,밝을,밝음
견,鰹,U+9C39,큰 가물치,성장
결,決,U+6C7A,결단할,균형
결,結,U+7D50,맺을,균형
결,潔,U+6F54,맑을,청렴
결,缺,U+7F3A,이지러질,균형
결,訣,U+8A23,이별할,균형
결,抉,U+6289,긁을,균형
결,㛃,U+36C3,,균형
결,焆,U+7106,,균형
결,迼,U+8FFC,,균형
결,玦,U+73A6,옥패,균형
결,鍥,U+9365,,균형
결,觖,U+89D6,서운할,균형
결,闋,U+95CB,쉴,균형
결,㓗,U+34D7,,균형
결,洯,U+6D2F,,균형
결,䤿,U+493F,,균형
겸,兼,U+517C,겸할,균형
겸,謙,U+8B19,사양할,균형
경,慶,U+6176,경사,균형
경,競,U+7AF6,겨룰,균형
경,竟,U+7ADF,다할,균형
경,境,U+5883,지경,균형
계,界,U+754C,지경,균형
계,堺,U+583A,지경,균형
계,谿,U+8C3F,시내,균형
계,磎,U+78CE,시내,균형
고,考,U+8003,상고할,균형
고,攷,U+6537,생각할,균형
고,皐,U+7690,부르는 소리,균형
고,皋,U+768B,못,균형
곡,谷,U+8C37,골짜기,균형
곡,曲,U+66F2,굽을,균형
곡,穀,U+7A40,곡식,균형
곡,哭,U+54ED,울,균형
곡,斛,U+659B,휘,밝음
곡,梏,U+688F,쇠고랑,균형
곡,鵠,U+9D60,고니,균형
곡,嚳,U+56B3,고할,균형
곡,槲,U+69F2,떡갈나무,균형
곡,縠,U+7E20,주름 비단,균형
곡,觳,U+89F3,뿔잔,균형
곡,轂,U+8F42,바퀴,균형
곤,困,U+56F0,괴로울,균형
곤,坤,U+5764,땅,균형
곤,衮,U+886E,곤룡포,균형
곤,袞,U+889E,곤룡포,균형
골,骨,U+9AA8,뼈,균형
