hanja,unicode,reading,meaning_kw
歌,U+6B4C,가,노래
加,U+52A0,가,더할
價,U+50F9,가,값
假,U+5047,가,거짓
茄,U+8304,가,가지
袈,U+8888,가,가사
訶,U+8A36,가,꾸짖을
跏,U+8DCF,가,책상다리할
軻,U+8EFB,가,수레 가기 힘들
哿,U+54FF,가,좋을
嘏,U+560F,가,클
舸,U+8238,가,큰 배
珈,U+73C8,가,머리꾸미개
坷,U+5777,가,험할
斝,U+659D,가,옥잔
榎,U+698E,가,오동나무
檟,U+6A9F,가,오동나무
笳,U+7B33,가,갈잎피리
珏,U+73CF,각,쌍옥
恪,U+606A,각,삼갈
殼,U+6BBC,각,껍질
愨,U+6128,각,
卻,U+537B,각,물리칠
咯,U+54AF,각,토할
埆,U+57C6,각,메마를
搉,U+6409,각,칠
擱,U+64F1,각,놓을
桷,U+6877,각,서까래
慤,U+6164,각,삼갈
肝,U+809D,간,간
幹,U+5E79,간,줄기
簡,U+7C21,간,대쪽
姦,U+59E6,간,간사할
杆,U+6746,간,지레
桿,U+687F,간,막대기
癇,U+7647,간,
癎,U+764E,간,경풍
渴,U+6E34,갈,목마를
葛,U+845B,갈,칡
乫,U+4E6B,갈,땅이름
喝,U+559D,갈,꾸짖을
曷,U+66F7,갈,어찌
碣,U+78A3,갈,비
竭,U+7AED,갈,다할
褐,U+8910,갈,털베
蝎,U+874E,갈,전갈
鞨,U+97A8,갈,말갈나라
噶,U+5676,갈,벼슬이름
楬,U+696C,갈,패를 써서 표시할
秸,U+79F8,갈,볏짚
羯,U+7FAF,갈,불친 양
蠍,U+880D,갈,전갈
坩,U+5769,감,도가니
埳,U+57F3,감,구덩이
嵁,U+5D41,감,산 험할
弇,U+5F07,감,뚜껑
憨,U+61A8,감,어리석을
撼,U+64BC,감,흔들
欿,U+6B3F,감,서운할
歛,U+6B5B,감,탐할
泔,U+6CD4,감,뜨물
淦,U+6DE6,감,물 이름
澉,U+6F89,감,싱거울
矙,U+77D9,감,엿볼
轗,U+8F57,감,가기 힘들
酣,U+9163,감,흥겨울
鑑,U+9451,감,거울
鑒,U+9452,감,거울
甲,U+7532,갑,갑옷
鉀,U+9240,갑,갑옷
匣,U+5323,갑,궤
岬,U+5CAC,갑,산 허구리
胛,U+80DB,갑,어깻죽지
閘,U+9598,갑,문 빗장
薑,U+8591,강,생강
鱇,U+9C47,강,천징어
嫝,U+5ADD,강,
跭,U+8DED,강,
襁,U+8941,강,포대기
玒,U+7392,강,
顜,U+985C,강,
茳,U+8333,강,강리풀
鏹,U+93F9,강,
傋,U+508B,강,아첨 아니할
僵,U+50F5,강,엎드러질
壃,U+58C3,강,지경
